id,lat,lon,name,docks
466,40.74395411,-73.99144871,"W 25 St & 6 Av",35
467,40.68312489,-73.97895137,"Dean Street and 4 Avenue",34
468,40.7652654,-73.98192338,"Broadway & W 55 Street",59
469,40.76344058,-73.98268129,"Broadway & W 53 Street",57
470,40.74345335,-74.00004031,"W 20 Street and 8 Avenue",37
471,40.71286844,-73.95698119,"Grand St & Havemeyer St",30
472,40.7457121,-73.98194829,"E 32 St & Park Av",41
473,40.72110063,-73.9919254,"Rivington St & Chrystie St",42
474,40.7451677,-73.98683077,"5 Avenue and E 29 Street",47
475,40.73524276,-73.98758561,"E 16 Street & Irving Place",37
476,40.74394314,-73.97966069,"E 31 Street and 3 Avenue",47
477,40.75640548,-73.9900262,"W 41 Street and 8 Avenue",59
478,40.76030096,-73.99884222,"11 Avenue and W 41 Street",31
479,40.76019252,-73.9912551,"9 Av & W 45 St",31
480,40.76669671,-73.99061728,"W 53 Street & 10 Avenue",25
481,40.71260486,-73.96264403,"S 3 St & Bedford",25
482,40.73935542,-73.99931783,"W 15 Street and 7 Avenue",38
483,40.73223272,-73.98889957,"E 12 Street & 3 Avenue",35
484,40.75500254,-73.98014437,"W 44 Street & 5 Avenue",44
485,40.75038009,-73.98338988,"W 37 St & 5 Av",39
486,40.7462009,-73.98855723,"Broadway & W 29 Street",39
487,40.73314259,-73.97573881,"E 20 Street & FDR Drive",36
488,40.75645824,-73.99372222,"W 39 Street & 9 Avenue",41
489,40.75066386,-74.00176802,"10 Av & W 28 St",37
490,40.75275056,-73.99282379,"W 35 Street and 8 Avenue",55
491,40.74096374,-73.98602213,"E 24 St & Park Av South",53
492,40.75019995,-73.99093085,"W 33 Street & 7 Avenue",49
493,40.7568001,-73.98291153,"W 45 Street and 6 Avenue",34
494,40.74734825,-73.99723551,"W 26 Street and 8 Avenue",35
495,40.76269882,-73.99301222,"W 47 Street and 10 Avenue",25
496,40.73726186,-73.99238967,"E 16 Street & 5 Avenue",47
497,40.73704984,-73.99009296,"E 17 Street and Broadway",59
498,40.74854862,-73.98808416,"Broadway & W 32 Street",30
500,40.76228826,-73.98336183,"Broadway & W 51 Street",52
501,40.744219,-73.97121214,"FDR Drive and E 35 Street",43
503,40.73827428,-73.98751968,"E 20 St & Park Av",29
504,40.73221853,-73.98165557,"1 Avenue & E 15 Street",45
505,40.74901271,-73.98848395,"6 Avenue & W 33 Street",36
507,40.73912601,-73.97973776,"E 25 St & 2 Av",47
508,40.76341379,-73.99667444,"W 46 Street & 11 Avenue",24
509,40.7454973,-74.00197139,"9 Avenue & W 22 Street",36
510,40.7606597,-73.98042047,"W 51 Street and 6 Avenue",59
511,40.72938685,-73.97772429,"E 14 Street & Avenue B",33
512,40.7500727,-73.99839279,"W 29 Street & 9 Avenue",27
513,40.77044059,-73.98780222,"W 59 Street and 10 Avenue",27
514,40.76087502,-74.00277668,"12 Avenue and W 40 Street",53
515,40.76009437,-73.99461843,"W 43 Street & 10 Avenue",35
517,40.75149263,-73.97798848,"Pershing Square S",59
518,40.74780373,-73.9734419,"E 39 Street and 2 Avenue",39
519,40.75188406,-73.97770164,"Pershing Square N",61
520,40.75992262,-73.97648516,"W 52 Street & 5 Avenue",39
521,40.75044999,-73.99481051,"8 Avenue and W 31 Street",67
522,40.75714758,-73.97207836,"E 51 St & Lexington Av",51
523,40.75466591,-73.99138152,"W 38 St & 8 Av",51
524,40.75527307,-73.98316936,"W 43 Street & 6 Avenue",57
525,40.75594159,-74.0021163,"W 34 Street & 11 Avenue",39
526,40.74765947,-73.98490707,"E 33 St & 5 Av",41
527,40.74315566,-73.97434726,"E 33 St & 1 Av",59
528,40.74290902,-73.97706058,"2 Av & E 30 St",39
529,40.7575699,-73.99098507,"W 42 Street and 8 Avenue",41
530,40.68981035,-73.97493121,"DeKalb Av & S Portland Av",36
531,40.71893904,-73.99266288,"Forsyth St and Broome St",39
532,40.710451,-73.960876,"South 5 Pl and South 4 St",43
534,40.70255065,-74.0127234,"Water Whitehall Plaza",31
536,40.74144387,-73.97536082,"1 Avenue and E 30 Street",29
537,40.74025878,-73.98409214,"Lexington Av and E 24 St",39
538,40.75795248,-73.97787642,"W 49 Street & 5 Avenue",39
539,40.71534825,-73.96024116,"Metropolitan and Bedford",31
540,40.74147286,-73.98320928,"Lexington Av and E 26 St",39
545,40.736502,-73.97809472,"E 23 St & 1 Av",27
546,40.74444921,-73.98303529,"E 30 St and Park Av South",38
2000,40.70255088,-73.98940236,"Front St & Washington St",30
2001,40.69892054,-73.97332996,"7th Av & Farragut St",15
2003,40.73416059,-73.98024289,"1 Av & 18 St",30
2004,40.7255002,-74.00445139,"Spring St & 6 Av",36
2005,40.70531194,-73.97100056,"Railroad Av & Kay Av",12
2006,40.76590936,-73.97634151,"Central Park South & 6 Av",49
2007,40.69069495,-73.95643107,"Dekalb Av & Skillman St",0
